listing pseudo or frameshifted genes in bop27 annotation

Gene ID	Locus Tag	Product Name	Type	Start	Stop
NC_000913:join(58474..59052,59052..59279):CDS	"b4659"		CDS-pseudo	58474	59279
NC_000913:complement(238746..239102):CDS	"b0218"		CDS-pseudo	238746	239102
NC_000913:239106..239378:CDS	"b4503"		CDS-pseudo	239106	239378
NC_000913:complement(248358..250070):CDS	"b0229"		CDS-pseudo	248358	250070
NC_000913:250072..250827:CDS	"b0230"		CDS-pseudo	250072	250827
NC_000913:253479..253685:CDS	"b0235"		CDS-pseudo	253479	253685
NC_000913:253702..254202:CDS	"b0236"		CDS-pseudo	253702	254202
NC_000913:join(257829..257899,258676..259006):CDS	"b0240"		CDS-pseudo	257829	259006
NC_000913:complement(263150..263212):CDS	"b4626"		CDS-pseudo	263150	263212
NC_000913:complement(266553..266774):CDS	"b4627"		CDS-pseudo	266553	266774
NC_000913:complement(266776..266967):CDS	"b4628"		CDS-pseudo	266776	266967
NC_000913:join(270278..270535,271764..272189):CDS	"b4587"		CDS-pseudo	270278	272189
NC_000913:272847..273954:CDS	"b0258"		CDS-pseudo	272847	273954
NC_000913:complement(278814..279161):CDS	"b0263"		CDS-pseudo	278814	279161
NC_000913:279931..280104:CDS	"b4708"		CDS-pseudo	279931	280104
NC_000913:complement(280114..280362):CDS	"b4505"		CDS-pseudo	280114	280362
NC_000913:complement(280427..280735):CDS	"b0266"		CDS-pseudo	280427	280735
NC_000913:290429..290633:CDS	"b4688"		CDS-pseudo	290429	290633
NC_000913:291404..292231:CDS	"b0276"		CDS-pseudo	291404	292231
NC_000913:complement(297381..297719):CDS	"b4694"		CDS-pseudo	297381	297719
NC_000913:complement(297714..297791):CDS	"b4695"		CDS-pseudo	297714	297791
NC_000913:complement(313716..313805):CDS	"b4630"		CDS-pseudo	313716	313805
NC_000913:314357..315228:CDS	"b0297"		CDS-pseudo	314357	315228
NC_000913:complement(316486..317169):CDS	"b0300"		CDS-pseudo	316486	317169
NC_000913:317439..317567:CDS	"b4631"		CDS-pseudo	317439	317567
